text,actual_intent,predicted_intent,confidence,is_correct,error_type
saya ingin tanya prosedur pemesanan produk bagaimana,info_pemesanan,info_pemesanan,0.39822440519279406,True,correct
bisa bantu diskon produk apotek apa saja,info_promo,info_promo,0.42653949228168064,True,correct
mohon info saya minum beberapa obat boleh tanya apoteker,konsultasi_apoteker,konsultasi_apoteker,0.6525077323795208,True,correct
bisa bantu jam operasional apotekcare,info_jam_operasional,info_jam_operasional,0.5439953393594438,True,correct
bisa bantu produk apotek untuk batuk ringan apa,rekomendasi_batuk_flu,rekomendasi_batuk_flu,0.6105260698903872,True,correct
saya ingin tanya produk bisa diantar hari ini tidak,info_pengiriman,info_pengiriman,0.2672766926498519,True,correct
saya ingin tanya alat kesehatan ringan apa saja,rekomendasi_alat_kesehatan,rekomendasi_alat_kesehatan,0.3292199410317108,True,correct
mohon info butuh perlengkapan bayi,rekomendasi_produk_bayi,rekomendasi_produk_bayi,0.3906922494412991,True,correct
butuh produk pencernaan ringan,rekomendasi_pencernaan,rekomendasi_demam_nyeri,0.20745710530781133,False,rekomendasi_pencernaan_as_rekomendasi_demam_nyeri
apakah ada produk bayi non obat,rekomendasi_produk_bayi,rekomendasi_produk_bayi,0.531310614899597,True,correct
saya ingin tanya saya ingin tanya efek samping obat,konsultasi_apoteker,konsultasi_apoteker,0.449166486512436,True,correct
bisa bantu rekomendasi untuk diare ringan,rekomendasi_pencernaan,rekomendasi_pencernaan,0.4246785505643413,True,correct
rekomendasi untuk diare ringan,rekomendasi_pencernaan,rekomendasi_pencernaan,0.5232930738061988,True,correct
mohon info ada termometer digital,cek_stok_produk,cek_stok_produk,0.23159549592864603,True,correct
mohon info bisa dikirim ke rumah,info_pengiriman,info_pengiriman,0.49959749739921877,True,correct
saya ingin tanya saya batuk pilek butuh obat,rekomendasi_batuk_flu,rekomendasi_batuk_flu,0.5307183584224381,True,correct
saya sedang masuk angin dan pilek,rekomendasi_batuk_flu,rekomendasi_batuk_flu,0.462239912741052,True,correct
mohon info produk untuk imun tubuh,rekomendasi_vitamin,rekomendasi_vitamin,0.4030307010010326,True,correct
tolong bantu tolong buatkan puisi cinta,out_of_scope,out_of_scope,0.3339127465132221,True,correct
mohon info saya mau order produk,info_pemesanan,info_pemesanan,0.3306334470523868,True,correct
saya ingin tanya apakah ada promo produk kesehatan,info_promo,info_promo,0.5998253231847098,True,correct
mohon info apakah bisa tebus resep,info_resep,info_resep,0.5149541560574165,True,correct
bisa bantu obat resep tanpa dokter bisa tidak,batasan_medis,batasan_medis,0.4628456459520177,True,correct
mohon info hari minggu buka tidak,info_jam_operasional,info_jam_operasional,0.3338518560373729,True,correct
mohon info rekomendasi untuk sakit kepala ringan,rekomendasi_demam_nyeri,rekomendasi_demam_nyeri,0.5262230518178809,True,correct
hai apotekcare,greeting,greeting,0.2409187018650745,True,correct
apakah bisa transfer bank,info_pembayaran,info_pembayaran,0.3314765319678353,True,correct
mohon info butuh penjelasan dari apoteker,konsultasi_apoteker,konsultasi_apoteker,0.4554117061125723,True,correct
bisa bantu badan pegal butuh obat,rekomendasi_demam_nyeri,rekomendasi_demam_nyeri,0.3987739895481125,True,correct
apotek buka sampai jam berapa,info_jam_operasional,info_jam_operasional,0.8892242224267592,True,correct
mohon info saya butuh perlengkapan luka ringan,rekomendasi_perawatan_luka,rekomendasi_perawatan_luka,0.5364262159452775,True,correct
saya ingin tanya ongkirnya berapa,info_pengiriman,info_pengiriman,0.22744574986408225,True,correct
mohon info produk untuk hidung tersumbat,rekomendasi_batuk_flu,rekomendasi_batuk_flu,0.41699455719436657,True,correct
saya ingin tanya mau beli produk lewat aplikasi,info_pemesanan,info_pemesanan,0.564571399861525,True,correct
mohon info rekomendasi untuk flu ringan,rekomendasi_batuk_flu,rekomendasi_batuk_flu,0.3648745331756899,True,correct
mohon info promo masker dan vitamin,info_promo,info_promo,0.5808788590383017,True,correct
saya mau order produk,info_pemesanan,info_pemesanan,0.34730232654378584,True,correct
halo saya mau bertanya,greeting,greeting,0.6582071506947773,True,correct
saya ingin tanya promo vitamin ada tidak,info_promo,info_promo,0.4767580858767986,True,correct
bisa bantu jual obat luar untuk luka ringan,rekomendasi_perawatan_luka,rekomendasi_perawatan_luka,0.7454807964048151,True,correct
bisa bantu butuh produk pencernaan ringan,rekomendasi_pencernaan,rekomendasi_demam_nyeri,0.16095526757423043,False,rekomendasi_pencernaan_as_rekomendasi_demam_nyeri
saya ingin tanya butuh strip gula darah,rekomendasi_alat_kesehatan,rekomendasi_alat_kesehatan,0.6127016625852284,True,correct
saya ingin tanya apakah bisa beli online,info_pemesanan,info_resep,0.2543999879343144,False,info_pemesanan_as_info_resep
mohon info apakah ada produk bayi non obat,rekomendasi_produk_bayi,rekomendasi_produk_bayi,0.4762266496772938,True,correct
saya demam ringan,rekomendasi_demam_nyeri,rekomendasi_demam_nyeri,0.5229826760052176,True,correct
saya ingin tanya hari minggu buka tidak,info_jam_operasional,info_jam_operasional,0.31131009825983796,True,correct
permisi apotek saya mau bertanya,greeting,greeting,0.4862465931369722,True,correct
saya ingin tanya apakah bisa konsultasi dengan apoteker,konsultasi_apoteker,konsultasi_apoteker,0.6355131315197522,True,correct
bisa bantu saya sedang masuk angin dan pilek,rekomendasi_batuk_flu,rekomendasi_batuk_flu,0.4355643830131323,True,correct
saya ingin tanya ada penurun panas,rekomendasi_demam_nyeri,rekomendasi_demam_nyeri,0.1604280130293291,True,correct
bisa bantu boleh konsultasi penggunaan obat,konsultasi_apoteker,konsultasi_apoteker,0.5308427785584258,True,correct
saya cari minyak telon bayi,rekomendasi_produk_bayi,rekomendasi_produk_bayi,0.7718819389459918,True,correct
saya ingin tanya metode pembayaran apa saja,info_pembayaran,info_pembayaran,0.35242386545398596,True,correct
saya punya resep dokter,info_resep,info_resep,0.5326562969256311,True,correct
saya ingin tanya ada tensimeter tidak,rekomendasi_alat_kesehatan,rekomendasi_alat_kesehatan,0.23088923334526854,True,correct
bisa bantu layanan kirim apotek tersedia tidak,info_pengiriman,info_pengiriman,0.5079446530442284,True,correct
ada termometer,rekomendasi_alat_kesehatan,rekomendasi_alat_kesehatan,0.2760597413887,True,correct
saya ingin tahu bagaimana cara membuat website,out_of_scope,out_of_scope,0.4630044008164398,True,correct
mohon info alat kesehatan ringan apa saja,rekomendasi_alat_kesehatan,rekomendasi_alat_kesehatan,0.38278712388267816,True,correct
bisa bantu produk kesehatan yang sedang promo,info_promo,info_promo,0.47710156456400565,True,correct
tolong bantu siapa presiden indonesia,out_of_scope,out_of_scope,0.4750083846483916,True,correct
