text,intent
halo,greeting
halo admin,greeting
halo saya mau bertanya,greeting
hai apotekcare,greeting
hai apotekcare admin,greeting
hai apotekcare saya mau bertanya,greeting
selamat pagi,greeting
selamat pagi admin,greeting
selamat pagi saya mau bertanya,greeting
selamat siang admin,greeting
selamat siang admin admin,greeting
selamat siang admin saya mau bertanya,greeting
permisi apotek,greeting
permisi apotek admin,greeting
permisi apotek saya mau bertanya,greeting
apakah ada admin,greeting
apakah ada admin admin,greeting
apakah ada admin saya mau bertanya,greeting
halo saya mau tanya,greeting
halo saya mau tanya admin,greeting
halo saya mau tanya saya mau bertanya,greeting
hai saya butuh bantuan,greeting
hai saya butuh bantuan admin,greeting
hai saya butuh bantuan saya mau bertanya,greeting
apotek buka jam berapa,info_jam_operasional
mohon info apotek buka jam berapa,info_jam_operasional
saya ingin tanya apotek buka jam berapa,info_jam_operasional
bisa bantu apotek buka jam berapa,info_jam_operasional
jam operasional apotekcare,info_jam_operasional
mohon info jam operasional apotekcare,info_jam_operasional
saya ingin tanya jam operasional apotekcare,info_jam_operasional
bisa bantu jam operasional apotekcare,info_jam_operasional
apotek tutup jam berapa,info_jam_operasional
mohon info apotek tutup jam berapa,info_jam_operasional
saya ingin tanya apotek tutup jam berapa,info_jam_operasional
bisa bantu apotek tutup jam berapa,info_jam_operasional
hari minggu buka tidak,info_jam_operasional
mohon info hari minggu buka tidak,info_jam_operasional
saya ingin tanya hari minggu buka tidak,info_jam_operasional
bisa bantu hari minggu buka tidak,info_jam_operasional
apakah buka malam hari,info_jam_operasional
mohon info apakah buka malam hari,info_jam_operasional
saya ingin tanya apakah buka malam hari,info_jam_operasional
bisa bantu apakah buka malam hari,info_jam_operasional
jadwal buka apotek,info_jam_operasional
mohon info jadwal buka apotek,info_jam_operasional
saya ingin tanya jadwal buka apotek,info_jam_operasional
bisa bantu jadwal buka apotek,info_jam_operasional
apotek buka sampai jam berapa,info_jam_operasional
mohon info apotek buka sampai jam berapa,info_jam_operasional
saya ingin tanya apotek buka sampai jam berapa,info_jam_operasional
bisa bantu apotek buka sampai jam berapa,info_jam_operasional
jam layanan apotekcare hari ini,info_jam_operasional
mohon info jam layanan apotekcare hari ini,info_jam_operasional
saya ingin tanya jam layanan apotekcare hari ini,info_jam_operasional
bisa bantu jam layanan apotekcare hari ini,info_jam_operasional
bagaimana cara pesan obat,info_pemesanan
mohon info bagaimana cara pesan obat,info_pemesanan
saya ingin tanya bagaimana cara pesan obat,info_pemesanan
bisa bantu bagaimana cara pesan obat,info_pemesanan
bisa pesan lewat chat,info_pemesanan
mohon info bisa pesan lewat chat,info_pemesanan
saya ingin tanya bisa pesan lewat chat,info_pemesanan
bisa bantu bisa pesan lewat chat,info_pemesanan
saya mau order produk,info_pemesanan
mohon info saya mau order produk,info_pemesanan
saya ingin tanya saya mau order produk,info_pemesanan
bisa bantu saya mau order produk,info_pemesanan
apakah bisa beli online,info_pemesanan
mohon info apakah bisa beli online,info_pemesanan
saya ingin tanya apakah bisa beli online,info_pemesanan
bisa bantu apakah bisa beli online,info_pemesanan
cara membeli produk di apotekcare,info_pemesanan
mohon info cara membeli produk di apotekcare,info_pemesanan
saya ingin tanya cara membeli produk di apotekcare,info_pemesanan
bisa bantu cara membeli produk di apotekcare,info_pemesanan
saya ingin pesan vitamin,info_pemesanan
mohon info saya ingin pesan vitamin,info_pemesanan
saya ingin tanya saya ingin pesan vitamin,info_pemesanan
bisa bantu saya ingin pesan vitamin,info_pemesanan
mau beli produk lewat aplikasi,info_pemesanan
mohon info mau beli produk lewat aplikasi,info_pemesanan
saya ingin tanya mau beli produk lewat aplikasi,info_pemesanan
bisa bantu mau beli produk lewat aplikasi,info_pemesanan
prosedur pemesanan produk bagaimana,info_pemesanan
mohon info prosedur pemesanan produk bagaimana,info_pemesanan
saya ingin tanya prosedur pemesanan produk bagaimana,info_pemesanan
bisa bantu prosedur pemesanan produk bagaimana,info_pemesanan
apakah ada layanan antar,info_pengiriman
mohon info apakah ada layanan antar,info_pengiriman
saya ingin tanya apakah ada layanan antar,info_pengiriman
bisa bantu apakah ada layanan antar,info_pengiriman
bisa dikirim ke rumah,info_pengiriman
mohon info bisa dikirim ke rumah,info_pengiriman
saya ingin tanya bisa dikirim ke rumah,info_pengiriman
bisa bantu bisa dikirim ke rumah,info_pengiriman
ongkirnya berapa,info_pengiriman
mohon info ongkirnya berapa,info_pengiriman
