faq_id,question,answer,intent,safety_note
FAQ001,Apotek ini buka jam berapa?,"ApotekCare buka setiap hari pukul 08.00 sampai 21.00. Untuk hari libur nasional, jam operasional dapat menyesuaikan.",info_jam_operasional,Tidak ada
FAQ002,Apakah ApotekCare buka hari Minggu?,"Ya, ApotekCare tetap buka pada hari Minggu pukul 08.00 sampai 21.00.",info_jam_operasional,Tidak ada
FAQ003,Apakah bisa pesan obat lewat chat?,"Bisa. Pelanggan dapat menanyakan ketersediaan produk melalui chat, kemudian staf apotek akan membantu proses pemesanan sesuai aturan layanan apotek.",info_pemesanan,Tidak ada
FAQ004,Apakah ApotekCare menyediakan layanan antar?,"Ya, ApotekCare menyediakan layanan antar untuk area tertentu. Biaya dan estimasi pengiriman akan dikonfirmasi oleh staf apotek.",info_pengiriman,Tidak ada
FAQ005,Metode pembayaran apa saja yang tersedia?,"Pembayaran dapat dilakukan secara tunai, transfer bank, QRIS, atau metode pembayaran digital yang tersedia di apotek.",info_pembayaran,Tidak ada
FAQ006,Apakah bisa membeli obat dengan resep dokter?,"Bisa. Untuk obat resep, pelanggan perlu mengirimkan atau menunjukkan resep dokter dan akan diverifikasi oleh apoteker.",info_resep,Perlu verifikasi apoteker
FAQ007,Apakah chatbot bisa membaca resep dokter?,Tidak. ApotekCare Assistant tidak memiliki fitur OCR resep dokter. Resep harus diverifikasi langsung oleh apoteker atau staf apotek.,info_resep,Tidak menggunakan OCR
FAQ008,Apakah saya bisa konsultasi dengan apoteker?,"Bisa. Chatbot dapat mengarahkan pelanggan untuk berkonsultasi dengan apoteker, terutama untuk penggunaan obat tertentu, ibu hamil, anak-anak, lansia, atau pasien dengan riwayat penyakit.",konsultasi_apoteker,Sarankan konsultasi apoteker
FAQ009,"Saya batuk dan pilek, produk apa yang bisa dibeli?","Untuk keluhan batuk dan pilek ringan, ApotekCare dapat menyarankan kategori produk seperti obat batuk bebas, pelega tenggorokan, minyak kayu putih, atau vitamin. Jika gejala berat atau tidak membaik, sebaiknya konsultasi ke dokter.",rekomendasi_batuk_flu,Bukan diagnosis medis
FAQ010,"Saya demam ringan, produk apa yang tersedia?","Untuk demam ringan, tersedia kategori produk seperti obat penurun panas bebas dan termometer. Pastikan membaca aturan pakai dan konsultasikan ke apoteker bila demam tinggi atau berulang.",rekomendasi_demam_nyeri,Bukan diagnosis medis
FAQ011,Ada vitamin untuk daya tahan tubuh?,"Ada. ApotekCare menyediakan kategori vitamin seperti vitamin C, multivitamin, zinc, dan suplemen daya tahan tubuh sesuai kebutuhan umum.",rekomendasi_vitamin,Sesuaikan kebutuhan
FAQ012,Apakah ada obat maag?,"Ada kategori produk untuk keluhan lambung ringan, seperti antasida atau produk pencernaan bebas. Jika nyeri berat, muntah darah, atau keluhan berulang, sebaiknya konsultasi dokter.",rekomendasi_pencernaan,Bukan diagnosis medis
FAQ013,Apakah tersedia obat diare?,"ApotekCare menyediakan kategori produk untuk diare ringan seperti oralit dan produk pendukung rehidrasi. Jika diare berat, berdarah, atau terjadi pada bayi, segera konsultasi tenaga kesehatan.",rekomendasi_pencernaan,Bukan diagnosis medis
FAQ014,Apakah ada alat cek suhu tubuh?,Ada. ApotekCare menyediakan alat kesehatan ringan seperti termometer digital. Ketersediaan stok dapat dikonfirmasi melalui chat.,rekomendasi_alat_kesehatan,Tidak ada
FAQ015,Apakah tersedia masker dan hand sanitizer?,"Ya, tersedia produk kesehatan umum seperti masker, hand sanitizer, tisu antiseptik, dan perlengkapan kebersihan lainnya.",rekomendasi_alat_kesehatan,Tidak ada
FAQ016,Apakah ada alat cek gula darah?,ApotekCare dapat menyediakan alat cek gula darah dan strip sesuai ketersediaan. Penggunaan hasil pemeriksaan sebaiknya dikonsultasikan dengan tenaga kesehatan.,rekomendasi_alat_kesehatan,Bukan interpretasi medis
FAQ017,Apakah bisa tanya stok obat?,"Bisa. Pelanggan dapat menanyakan stok produk tertentu, lalu staf apotek akan mengecek ketersediaannya.",cek_stok_produk,Tidak ada
