text,intent,clean_text
halo,greeting,halo
halo admin,greeting,halo admin
halo saya mau bertanya,greeting,halo saya mau bertanya
hai apotekcare,greeting,hai apotekcare
hai apotekcare admin,greeting,hai apotekcare admin
hai apotekcare saya mau bertanya,greeting,hai apotekcare saya mau bertanya
selamat pagi,greeting,selamat pagi
selamat pagi admin,greeting,selamat pagi admin
selamat pagi saya mau bertanya,greeting,selamat pagi saya mau bertanya
selamat siang admin,greeting,selamat siang admin
selamat siang admin admin,greeting,selamat siang admin admin
selamat siang admin saya mau bertanya,greeting,selamat siang admin saya mau bertanya
permisi apotek,greeting,permisi apotek
permisi apotek admin,greeting,permisi apotek admin
permisi apotek saya mau bertanya,greeting,permisi apotek saya mau bertanya
apakah ada admin,greeting,apakah ada admin
apakah ada admin admin,greeting,apakah ada admin admin
apakah ada admin saya mau bertanya,greeting,apakah ada admin saya mau bertanya
halo saya mau tanya,greeting,halo saya mau tanya
halo saya mau tanya admin,greeting,halo saya mau tanya admin
halo saya mau tanya saya mau bertanya,greeting,halo saya mau tanya saya mau bertanya
hai saya butuh bantuan,greeting,hai saya butuh bantuan
hai saya butuh bantuan admin,greeting,hai saya butuh bantuan admin
hai saya butuh bantuan saya mau bertanya,greeting,hai saya butuh bantuan saya mau bertanya
apotek buka jam berapa,info_jam_operasional,apotek buka jam berapa
mohon info apotek buka jam berapa,info_jam_operasional,mohon info apotek buka jam berapa
saya ingin tanya apotek buka jam berapa,info_jam_operasional,saya ingin tanya apotek buka jam berapa
bisa bantu apotek buka jam berapa,info_jam_operasional,bisa bantu apotek buka jam berapa
jam operasional apotekcare,info_jam_operasional,jam operasional apotekcare
mohon info jam operasional apotekcare,info_jam_operasional,mohon info jam operasional apotekcare
saya ingin tanya jam operasional apotekcare,info_jam_operasional,saya ingin tanya jam operasional apotekcare
bisa bantu jam operasional apotekcare,info_jam_operasional,bisa bantu jam operasional apotekcare
apotek tutup jam berapa,info_jam_operasional,apotek tutup jam berapa
mohon info apotek tutup jam berapa,info_jam_operasional,mohon info apotek tutup jam berapa
saya ingin tanya apotek tutup jam berapa,info_jam_operasional,saya ingin tanya apotek tutup jam berapa
bisa bantu apotek tutup jam berapa,info_jam_operasional,bisa bantu apotek tutup jam berapa
hari minggu buka tidak,info_jam_operasional,hari minggu buka tidak
mohon info hari minggu buka tidak,info_jam_operasional,mohon info hari minggu buka tidak
saya ingin tanya hari minggu buka tidak,info_jam_operasional,saya ingin tanya hari minggu buka tidak
bisa bantu hari minggu buka tidak,info_jam_operasional,bisa bantu hari minggu buka tidak
apakah buka malam hari,info_jam_operasional,apakah buka malam hari
mohon info apakah buka malam hari,info_jam_operasional,mohon info apakah buka malam hari
saya ingin tanya apakah buka malam hari,info_jam_operasional,saya ingin tanya apakah buka malam hari
bisa bantu apakah buka malam hari,info_jam_operasional,bisa bantu apakah buka malam hari
jadwal buka apotek,info_jam_operasional,jadwal buka apotek
mohon info jadwal buka apotek,info_jam_operasional,mohon info jadwal buka apotek
saya ingin tanya jadwal buka apotek,info_jam_operasional,saya ingin tanya jadwal buka apotek
bisa bantu jadwal buka apotek,info_jam_operasional,bisa bantu jadwal buka apotek
apotek buka sampai jam berapa,info_jam_operasional,apotek buka sampai jam berapa
mohon info apotek buka sampai jam berapa,info_jam_operasional,mohon info apotek buka sampai jam berapa
saya ingin tanya apotek buka sampai jam berapa,info_jam_operasional,saya ingin tanya apotek buka sampai jam berapa
bisa bantu apotek buka sampai jam berapa,info_jam_operasional,bisa bantu apotek buka sampai jam berapa
